ingredient,form,tier,bioavailability_note,use_case,source
Inositol,a 40:1 ratio of Myo-inositol to D-chiro-inositol (DCI),Superior,"Inositols (mainly MI) improve menstrual regularity, androgens, insulin resistance and BMI",Vitamin-like polyol (formerly Vitamin B8),science_research.xlsx (internal evidence file - needs_citation)
Inositol,"Stand‑alone MI powders providing 2–4 g/day, with",Acceptable,"Inositols (mainly MI) improve menstrual regularity, androgens, insulin resistance and BMI",Vitamin-like polyol (formerly Vitamin B8),science_research.xlsx (internal evidence file - needs_citation)
Inositol,without folic acid,Acceptable,"Inositols (mainly MI) improve menstrual regularity, androgens, insulin resistance and BMI",Vitamin-like polyol (formerly Vitamin B8),science_research.xlsx (internal evidence file - needs_citation)
Inositol,Low‑dose (<1 g/day) MI capsules marketed for PCOS/fertility,Reject,"Inositols (mainly MI) improve menstrual regularity, androgens, insulin resistance and BMI",Vitamin-like polyol (formerly Vitamin B8),science_research.xlsx (internal evidence file - needs_citation)
Ginkgo Biloba,"Standardized Extracts like EGb 761 (DER 35–67:1, 22–27% ginkgoflavonglycosides, 5–7% terpene lactones, <5 ppm ginkgolic acids)",Superior,EGb 761 at 120–240 mg/day has shown modest stabilisation or slowing of cognitive and functional decline in dementia over 22–52 weeks.,Botanical Extract / Nootropic,science_research.xlsx (internal evidence file - needs_citation)
Ginkgo Biloba,Other acetone/water Ginkgo leaf extracts,Acceptable,EGb 761 at 120–240 mg/day has shown modest stabilisation or slowing of cognitive and functional decline in dementia over 22–52 weeks.,Botanical Extract / Nootropic,science_research.xlsx (internal evidence file - needs_citation)
Ginkgo Biloba,"Non‑standardised powders, extracts with high ginkgolic acids,",Reject,EGb 761 at 120–240 mg/day has shown modest stabilisation or slowing of cognitive and functional decline in dementia over 22–52 weeks.,Botanical Extract / Nootropic,science_research.xlsx (internal evidence file - needs_citation)
Ginkgo Biloba,products adulterated with rutin/quercetin to simulate flavone content,Reject,EGb 761 at 120–240 mg/day has shown modest stabilisation or slowing of cognitive and functional decline in dementia over 22–52 weeks.,Botanical Extract / Nootropic,science_research.xlsx (internal evidence file - needs_citation)
Rosemary Extract,"Standardized to Rosmarinic Acid (e.g., 10-20%)",Superior,Standardized rosmarinic acid has proven neuroprotective effects in human trials,Botanical Extract / Antioxidant,science_research.xlsx (internal evidence file - needs_citation)
Rosemary Extract,Carnosic Acid,Superior,Standardized rosmarinic acid has proven neuroprotective effects in human trials,Botanical Extract / Antioxidant,science_research.xlsx (internal evidence file - needs_citation)
Rosemary Extract,"Dried rosemary leaf capsules, teas, and E392 antioxidant extracts",Acceptable,Standardized rosmarinic acid has proven neuroprotective effects in human trials,Botanical Extract / Antioxidant,science_research.xlsx (internal evidence file - needs_citation)
Rosemary Extract,Poorly defined extracts with unknown carnosic acid,Reject,Standardized rosmarinic acid has proven neuroprotective effects in human trials,Botanical Extract / Antioxidant,science_research.xlsx (internal evidence file - needs_citation)
Rosemary Extract,unsafe undiluted essential oil capsules for internal use,Reject,Standardized rosmarinic acid has proven neuroprotective effects in human trials,Botanical Extract / Antioxidant,science_research.xlsx (internal evidence file - needs_citation)
Valerian Root,Standardised valerian‑root dry extracts (e.g. DER ~4–7:1) used at 400–900 mg,Superior,"Repeated valerian (1–2 weeks) modestly improves sleep quality; well tolerated, no morning “hangover.”",Herbal sedative / sleep‑support botanical.,science_research.xlsx (internal evidence file - needs_citation)
Valerian Root,Monopreparation valerian tablets/capsules (≈400–600 mg extract),Acceptable,"Repeated valerian (1–2 weeks) modestly improves sleep quality; well tolerated, no morning “hangover.”",Herbal sedative / sleep‑support botanical.,science_research.xlsx (internal evidence file - needs_citation)
Valerian Root,Non‑standardised root powders,Reject,"Repeated valerian (1–2 weeks) modestly improves sleep quality; well tolerated, no morning “hangover.”",Herbal sedative / sleep‑support botanical.,science_research.xlsx (internal evidence file - needs_citation)
Valerian Root,low‑dose products (<300 mg per day),Reject,"Repeated valerian (1–2 weeks) modestly improves sleep quality; well tolerated, no morning “hangover.”",Herbal sedative / sleep‑support botanical.,science_research.xlsx (internal evidence file - needs_citation)
Ashwagandha (KSM-66),"KSM-66, which is a root-only extract standardized to 5% with anolides",Superior,KSM‑66 (300–600 mg/day) show significant reductions in perceived stress and serum cortisol and improvements in sleep quality and anxiety,Adaptogen and an Ayurvedic Botanical,science_research.xlsx (internal evidence file - needs_citation)
Ashwagandha (KSM-66),Sensoril (a root and leaf extract) and general root extracts standardized to 2.5% withanolides,Acceptable,KSM‑66 (300–600 mg/day) show significant reductions in perceived stress and serum cortisol and improvements in sleep quality and anxiety,Adaptogen and an Ayurvedic Botanical,science_research.xlsx (internal evidence file - needs_citation)
Ashwagandha (KSM-66),"Leaf-only extracts, non-standardized root powder,",Reject,KSM‑66 (300–600 mg/day) show significant reductions in perceived stress and serum cortisol and improvements in sleep quality and anxiety,Adaptogen and an Ayurvedic Botanical,science_research.xlsx (internal evidence file - needs_citation)
Ashwagandha (KSM-66),"products with high levels of withaferin A, which can be cytotoxic",Reject,KSM‑66 (300–600 mg/day) show significant reductions in perceived stress and serum cortisol and improvements in sleep quality and anxiety,Adaptogen and an Ayurvedic Botanical,science_research.xlsx (internal evidence file - needs_citation)
5-HTP,"standardized Griffonia simplicifolia seed extract, typically 98% 5-HTP",Superior,5‑HTP may improve depressive symptoms vs placebo and relieve fibromyalgia pain,Amino Acid and a Neurotransmitter Precursor,science_research.xlsx (internal evidence file - needs_citation)
5-HTP,Extracts standardized to 20-50% 5-HTP,Acceptable,5‑HTP may improve depressive symptoms vs placebo and relieve fibromyalgia pain,Amino Acid and a Neurotransmitter Precursor,science_research.xlsx (internal evidence file - needs_citation)
5-HTP,"Unknown purity, unclear mg per capsule,",Reject,5‑HTP may improve depressive symptoms vs placebo and relieve fibromyalgia pain,Amino Acid and a Neurotransmitter Precursor,science_research.xlsx (internal evidence file - needs_citation)
5-HTP,low-dose 5-HTP (<25–50 mg),Reject,5‑HTP may improve depressive symptoms vs placebo and relieve fibromyalgia pain,Amino Acid and a Neurotransmitter Precursor,science_research.xlsx (internal evidence file - needs_citation)
Saccharomyces boulardii,Lyophilized (freeze-dried) Saccharomyces boulardii CNCM I-745,Superior,S. boulardii reduced AAD risk from 18.7% to 8.5% in adults and children on antibiotics.,Probiotic / live yeast,science_research.xlsx (internal evidence file - needs_citation)
Saccharomyces boulardii,Single‑strain S. boulardii capsules providing ≥10⁹ CFU/day,Acceptable,S. boulardii reduced AAD risk from 18.7% to 8.5% in adults and children on antibiotics.,Probiotic / live yeast,science_research.xlsx (internal evidence file - needs_citation)
Saccharomyces boulardii,"Multi‑strain probiotic blends with unknown S. boulardii dose,",Reject,S. boulardii reduced AAD risk from 18.7% to 8.5% in adults and children on antibiotics.,Probiotic / live yeast,science_research.xlsx (internal evidence file - needs_citation)
Saccharomyces boulardii,low‑CFU products (<10⁹ per day),Reject,S. boulardii reduced AAD risk from 18.7% to 8.5% in adults and children on antibiotics.,Probiotic / live yeast,science_research.xlsx (internal evidence file - needs_citation)
St. John's Wort,Standardized extracts specifying hyperforin content,Superior,"Clinical efficacy data is linked to standardized extracts, ensuring predictable potency and safety",Herbal extract / plant-derived antidepressant,science_research.xlsx (internal evidence file - needs_citation)
St. John's Wort,~0.3% hypericin as used in clinical trials,Superior,"Clinical efficacy data is linked to standardized extracts, ensuring predictable potency and safety",Herbal extract / plant-derived antidepressant,science_research.xlsx (internal evidence file - needs_citation)
St. John's Wort,Whole-plant extracts with declared strength but without hyperforin standardization,Acceptable,"Clinical efficacy data is linked to standardized extracts, ensuring predictable potency and safety",Herbal extract / plant-derived antidepressant,science_research.xlsx (internal evidence file - needs_citation)
St. John's Wort,Non-standardized powders,Reject,"Clinical efficacy data is linked to standardized extracts, ensuring predictable potency and safety",Herbal extract / plant-derived antidepressant,science_research.xlsx (internal evidence file - needs_citation)
St. John's Wort,products without declared hypericin/hyperforin content,Reject,"Clinical efficacy data is linked to standardized extracts, ensuring predictable potency and safety",Herbal extract / plant-derived antidepressant,science_research.xlsx (internal evidence file - needs_citation)
Evening Primrose Oil,Cold-pressed oil standardized to ~8–10% GLA with peroxide value control,Superior,"Cold-pressed, GLA-standardized oils ensure anti-inflammatory activity and better stability",Botanical oil / omega-6 fatty acid supplement containing GLA,science_research.xlsx (internal evidence file - needs_citation)
Evening Primrose Oil,Refined evening primrose oil with declared GLA percentage,Acceptable,"Cold-pressed, GLA-standardized oils ensure anti-inflammatory activity and better stability",Botanical oil / omega-6 fatty acid supplement containing GLA,science_research.xlsx (internal evidence file - needs_citation)
Evening Primrose Oil,Highly refined oils with no stated GLA content,Reject,"Cold-pressed, GLA-standardized oils ensure anti-inflammatory activity and better stability",Botanical oil / omega-6 fatty acid supplement containing GLA,science_research.xlsx (internal evidence file - needs_citation)
Evening Primrose Oil,oxidation testing,Reject,"Cold-pressed, GLA-standardized oils ensure anti-inflammatory activity and better stability",Botanical oil / omega-6 fatty acid supplement containing GLA,science_research.xlsx (internal evidence file - needs_citation)
Magnesium Glycinate,magnesium bisglycinate,Superior,"Chelated magnesium glycinate is well tolerated, with lower rates of diarrhoea compared with more osmotic salts; glycine itself is calming, which suits sleep/stress‑support usage.",sleep/stress formulas,science_research.xlsx (internal evidence file - needs_citation)
Magnesium Glycinate,Standard magnesium glycinate capsules/tablets made under GMP,Acceptable,"Chelated magnesium glycinate is well tolerated, with lower rates of diarrhoea compared with more osmotic salts; glycine itself is calming, which suits sleep/stress‑support usage.",sleep/stress formulas,science_research.xlsx (internal evidence file - needs_citation)
Magnesium Glycinate,f magnesium oxide + small glycinate fraction,Reject,"Chelated magnesium glycinate is well tolerated, with lower rates of diarrhoea compared with more osmotic salts; glycine itself is calming, which suits sleep/stress‑support usage.",sleep/stress formulas,science_research.xlsx (internal evidence file - needs_citation)
Magnesium Malate,elemental magnesium and malic acid amount,Superior,combinations of magnesium and malate may improve pain and fatigue scores,energy and muscle comfort,science_research.xlsx (internal evidence file - needs_citation)
Magnesium Malate,Standard magnesium malate tablets/capsules with clear elemental magnesium per serving,Acceptable,combinations of magnesium and malate may improve pain and fatigue scores,energy and muscle comfort,science_research.xlsx (internal evidence file - needs_citation)
Magnesium Malate,magnesium oxide/citrate but market as “malate” for energy claims,Reject,combinations of magnesium and malate may improve pain and fatigue scores,energy and muscle comfort,science_research.xlsx (internal evidence file - needs_citation)
Magnesium Citrate,Clearly dosed magnesium citrate with declared elemental magnesium,Superior,"Magnesium citrate is more soluble and better absorbed than inorganic forms like magnesium oxide, but at moderate doses",bowel‑support formulas.,science_research.xlsx (internal evidence file - needs_citation)
Magnesium Citrate,Standard citrate tablets/capsules in the ~100–200 mg elemental magnesium/serving range,Acceptable,"Magnesium citrate is more soluble and better absorbed than inorganic forms like magnesium oxide, but at moderate doses",bowel‑support formulas.,science_research.xlsx (internal evidence file - needs_citation)
Magnesium Citrate,Very high‑dose powders marketed for daily long‑term use without warning,Reject,"Magnesium citrate is more soluble and better absorbed than inorganic forms like magnesium oxide, but at moderate doses",bowel‑support formulas.,science_research.xlsx (internal evidence file - needs_citation)
Charcoal (Activated),Pharmaceutical-grade activated charcoal with high surface area (>1000 m²/g) and clear activation method,Superior,"Higher surface area charcoal binds toxins and gases more effectively, improving efficacy predictability",Adsorbent agent / carbon-based detoxification aid,science_research.xlsx (internal evidence file - needs_citation)
Charcoal (Activated),Food-grade activated charcoal with declared purity and particle size,Acceptable,"Higher surface area charcoal binds toxins and gases more effectively, improving efficacy predictability",Adsorbent agent / carbon-based detoxification aid,science_research.xlsx (internal evidence file - needs_citation)
Charcoal (Activated),Low-activation carbon powders without adsorption capacity data,Reject,"Higher surface area charcoal binds toxins and gases more effectively, improving efficacy predictability",Adsorbent agent / carbon-based detoxification aid,science_research.xlsx (internal evidence file - needs_citation)
Charcoal (Activated),purity testing,Reject,"Higher surface area charcoal binds toxins and gases more effectively, improving efficacy predictability",Adsorbent agent / carbon-based detoxification aid,science_research.xlsx (internal evidence file - needs_citation)
Vitamin E,Natural d-alpha-tocopherol (RRR-alpha-tocopherol) with mixed tocopherols/tocotrienols,Superior,Natural d-alpha-tocopherol has higher bioavailability and activity than synthetic forms,Essential fat-soluble vitamin / antioxidant micronutrient,science_research.xlsx (internal evidence file - needs_citation)
Vitamin E,Synthetic dl-alpha-tocopherol,Acceptable,Natural d-alpha-tocopherol has higher bioavailability and activity than synthetic forms,Essential fat-soluble vitamin / antioxidant micronutrient,science_research.xlsx (internal evidence file - needs_citation)
Vitamin E,alpha-tocopherol acetate,Acceptable,Natural d-alpha-tocopherol has higher bioavailability and activity than synthetic forms,Essential fat-soluble vitamin / antioxidant micronutrient,science_research.xlsx (internal evidence file - needs_citation)
Vitamin E,High-dose alpha-tocopherol alone without mixed tocopherols,Reject,Natural d-alpha-tocopherol has higher bioavailability and activity than synthetic forms,Essential fat-soluble vitamin / antioxidant micronutrient,science_research.xlsx (internal evidence file - needs_citation)
Vitamin E,antioxidant stabilization,Reject,Natural d-alpha-tocopherol has higher bioavailability and activity than synthetic forms,Essential fat-soluble vitamin / antioxidant micronutrient,science_research.xlsx (internal evidence file - needs_citation)
MSM,High-purity MSM (≥99.9%) with distillation/crystallization purification and low heavy-metal content,Superior,High-purity MSM reduces contamination risk and improves tolerability and consistency,Organosulfur compound / dietary supplement for joint and connective tissue health,science_research.xlsx (internal evidence file - needs_citation)
MSM,Food-grade MSM with declared purity and manufacturing controls,Acceptable,High-purity MSM reduces contamination risk and improves tolerability and consistency,Organosulfur compound / dietary supplement for joint and connective tissue health,science_research.xlsx (internal evidence file - needs_citation)
MSM,Low-purity MSM with no purity disclosure,Reject,High-purity MSM reduces contamination risk and improves tolerability and consistency,Organosulfur compound / dietary supplement for joint and connective tissue health,science_research.xlsx (internal evidence file - needs_citation)
MSM,third-party contaminant testing,Reject,High-purity MSM reduces contamination risk and improves tolerability and consistency,Organosulfur compound / dietary supplement for joint and connective tissue health,science_research.xlsx (internal evidence file - needs_citation)
Tribulus Terrestris,Standardized extracts specifying ≥40–60% total saponins with clear plant part disclosure (fruit preferred),Superior,Standardized saponin content improves batch consistency and aligns with clinical research protocols,Herbal extract / phytotherapeutic agent rich in steroidal saponins,science_research.xlsx (internal evidence file - needs_citation)
Tribulus Terrestris,Non-standardized extracts with declared plant part and dosage,Acceptable,Standardized saponin content improves batch consistency and aligns with clinical research protocols,Herbal extract / phytotherapeutic agent rich in steroidal saponins,science_research.xlsx (internal evidence file - needs_citation)
Tribulus Terrestris,Powders,Reject,Standardized saponin content improves batch consistency and aligns with clinical research protocols,Herbal extract / phytotherapeutic agent rich in steroidal saponins,science_research.xlsx (internal evidence file - needs_citation)
Tribulus Terrestris,extracts without saponin standardization,Reject,Standardized saponin content improves batch consistency and aligns with clinical research protocols,Herbal extract / phytotherapeutic agent rich in steroidal saponins,science_research.xlsx (internal evidence file - needs_citation)
Tribulus Terrestris,unclear plant origin,Reject,Standardized saponin content improves batch consistency and aligns with clinical research protocols,Herbal extract / phytotherapeutic agent rich in steroidal saponins,science_research.xlsx (internal evidence file - needs_citation)
Prenatal Vitamin,Prenatals containing folate (400 µg) as folic acid,Superior,Bioavailable minerals and correct folate levels reduce neural tube defect risk and improve tolerability,"Multivitamin–mineral supplement with pregnancy-specific micronutrients (e.g., folate, iron, iodine)",science_research.xlsx (internal evidence file - needs_citation)
Prenatal Vitamin,"5-MTHF, iron bisglycinate, iodine, vitamin D (10 µg), and DHA",Superior,Bioavailable minerals and correct folate levels reduce neural tube defect risk and improve tolerability,"Multivitamin–mineral supplement with pregnancy-specific micronutrients (e.g., folate, iron, iodine)",science_research.xlsx (internal evidence file - needs_citation)
Prenatal Vitamin,Standard prenatal multivitamins meeting UK RNI levels without DHA,Acceptable,Bioavailable minerals and correct folate levels reduce neural tube defect risk and improve tolerability,"Multivitamin–mineral supplement with pregnancy-specific micronutrients (e.g., folate, iron, iodine)",science_research.xlsx (internal evidence file - needs_citation)
Hyaluronic Acid (Oral),Low–medium molecular weight sodium hyaluronate produced via microbial fermentation with declared molecular weight,Superior,"Fermentation-derived, lower-MW hyaluronic acid shows better oral absorption and bioactivity",Glycosaminoglycan / biopolymer used as a dietary supplement,science_research.xlsx (internal evidence file - needs_citation)
Hyaluronic Acid (Oral),Sodium hyaluronate without molecular-weight specification,Acceptable,"Fermentation-derived, lower-MW hyaluronic acid shows better oral absorption and bioactivity",Glycosaminoglycan / biopolymer used as a dietary supplement,science_research.xlsx (internal evidence file - needs_citation)
Hyaluronic Acid (Oral),"Animal-derived hyaluronic acid without purity, MW disclosure,",Reject,"Fermentation-derived, lower-MW hyaluronic acid shows better oral absorption and bioactivity",Glycosaminoglycan / biopolymer used as a dietary supplement,science_research.xlsx (internal evidence file - needs_citation)
Hyaluronic Acid (Oral),allergen control,Reject,"Fermentation-derived, lower-MW hyaluronic acid shows better oral absorption and bioactivity",Glycosaminoglycan / biopolymer used as a dietary supplement,science_research.xlsx (internal evidence file - needs_citation)
Kelp (Iodine),Kelp products with standardized iodine content (µg declared per dose) and batch testing for contaminants,Superior,"Standardized iodine prevents under- or over-dosing, which can disrupt thyroid function",Marine botanical / iodine-containing mineral supplement,science_research.xlsx (internal evidence file - needs_citation)
Kelp (Iodine),Iodine-standardized kelp,Acceptable,"Standardized iodine prevents under- or over-dosing, which can disrupt thyroid function",Marine botanical / iodine-containing mineral supplement,science_research.xlsx (internal evidence file - needs_citation)
Kelp (Iodine),potassium iodide supplements meeting UK RNI,Acceptable,"Standardized iodine prevents under- or over-dosing, which can disrupt thyroid function",Marine botanical / iodine-containing mineral supplement,science_research.xlsx (internal evidence file - needs_citation)
Kelp (Iodine),Whole kelp powders without iodine standardization,Reject,"Standardized iodine prevents under- or over-dosing, which can disrupt thyroid function",Marine botanical / iodine-containing mineral supplement,science_research.xlsx (internal evidence file - needs_citation)
Kelp (Iodine),contaminant testing,Reject,"Standardized iodine prevents under- or over-dosing, which can disrupt thyroid function",Marine botanical / iodine-containing mineral supplement,science_research.xlsx (internal evidence file - needs_citation)
Algal Oil,Triglyceride-form algal oil with declared DHA/EPA content produced via controlled fermentation,Superior,Algal oil delivers bioequivalent DHA to fish oil without fish allergens or sustainability concerns,Marine-derived (non-fish) omega-3 lipid supplement (DHA/EPA),science_research.xlsx (internal evidence file - needs_citation)
Algal Oil,Algal oil providing DHA only (no EPA) with labelled mg per serving,Acceptable,Algal oil delivers bioequivalent DHA to fish oil without fish allergens or sustainability concerns,Marine-derived (non-fish) omega-3 lipid supplement (DHA/EPA),science_research.xlsx (internal evidence file - needs_citation)
Algal Oil,Oils without stated DHA/EPA levels,Reject,Algal oil delivers bioequivalent DHA to fish oil without fish allergens or sustainability concerns,Marine-derived (non-fish) omega-3 lipid supplement (DHA/EPA),science_research.xlsx (internal evidence file - needs_citation)
Algal Oil,oxidation (peroxide),Reject,Algal oil delivers bioequivalent DHA to fish oil without fish allergens or sustainability concerns,Marine-derived (non-fish) omega-3 lipid supplement (DHA/EPA),science_research.xlsx (internal evidence file - needs_citation)
Chlorella,Broken-cell-wall chlorella with species identification (C. vulgaris) and contaminant testing,Superior,Broken-cell-wall processing improves nutrient bioavailability and digestibility,"Microalgae / whole-food botanical supplement rich in chlorophyll, protein, vitamins, and minerals",science_research.xlsx (internal evidence file - needs_citation)
Chlorella,Chlorella tablets,Acceptable,Broken-cell-wall processing improves nutrient bioavailability and digestibility,"Microalgae / whole-food botanical supplement rich in chlorophyll, protein, vitamins, and minerals",science_research.xlsx (internal evidence file - needs_citation)
Chlorella,powders with declared species and dosage,Acceptable,Broken-cell-wall processing improves nutrient bioavailability and digestibility,"Microalgae / whole-food botanical supplement rich in chlorophyll, protein, vitamins, and minerals",science_research.xlsx (internal evidence file - needs_citation)
Chlorella,Unbroken-cell-wall chlorella,Reject,Broken-cell-wall processing improves nutrient bioavailability and digestibility,"Microalgae / whole-food botanical supplement rich in chlorophyll, protein, vitamins, and minerals",science_research.xlsx (internal evidence file - needs_citation)
Chlorella,products without species disclosure and heavy-metal testing,Reject,Broken-cell-wall processing improves nutrient bioavailability and digestibility,"Microalgae / whole-food botanical supplement rich in chlorophyll, protein, vitamins, and minerals",science_research.xlsx (internal evidence file - needs_citation)
Flaxseed Oil,"Cold-pressed, unrefined flaxseed oil with declared ALA percentage and antioxidant protection",Superior,"Cold-pressed oils preserve ALA and reduce oxidative degradation, improving efficacy and safety",Botanical oil / omega-3 fatty acid supplement (ALA),science_research.xlsx (internal evidence file - needs_citation)
Flaxseed Oil,Refined flaxseed oil with labelled ALA content,Acceptable,"Cold-pressed oils preserve ALA and reduce oxidative degradation, improving efficacy and safety",Botanical oil / omega-3 fatty acid supplement (ALA),science_research.xlsx (internal evidence file - needs_citation)
Flaxseed Oil,Heat-processed oils without ALA content disclosure,Reject,"Cold-pressed oils preserve ALA and reduce oxidative degradation, improving efficacy and safety",Botanical oil / omega-3 fatty acid supplement (ALA),science_research.xlsx (internal evidence file - needs_citation)
Flaxseed Oil,oxidation,Reject,"Cold-pressed oils preserve ALA and reduce oxidative degradation, improving efficacy and safety",Botanical oil / omega-3 fatty acid supplement (ALA),science_research.xlsx (internal evidence file - needs_citation)
Dandelion Root,Standardized dandelion root extract (not leaf) with declared extraction ratio and botanical identification,Superior,Root extracts contain higher concentrations of bitter compounds linked to digestive stimulation,Herbal root extract / bitter tonic botanical,science_research.xlsx (internal evidence file - needs_citation)
Dandelion Root,Dried root powder,Acceptable,Root extracts contain higher concentrations of bitter compounds linked to digestive stimulation,Herbal root extract / bitter tonic botanical,science_research.xlsx (internal evidence file - needs_citation)
Dandelion Root,non-standardized extracts with clear plant-part labeling,Acceptable,Root extracts contain higher concentrations of bitter compounds linked to digestive stimulation,Herbal root extract / bitter tonic botanical,science_research.xlsx (internal evidence file - needs_citation)
Dandelion Root,Products mixing leaf and root without disclosure,Reject,Root extracts contain higher concentrations of bitter compounds linked to digestive stimulation,Herbal root extract / bitter tonic botanical,science_research.xlsx (internal evidence file - needs_citation)
Dandelion Root,lacking botanical authentication,Reject,Root extracts contain higher concentrations of bitter compounds linked to digestive stimulation,Herbal root extract / bitter tonic botanical,science_research.xlsx (internal evidence file - needs_citation)
Sea Moss (Irish Moss),Species-verified Chondrus crispus with standardized iodine disclosure and contaminant testing.Sea moss is very high in iodine,Superior,Species verification and iodine standardization prevent variability and thyroid risk,"Marine botanical (red algae) rich in polysaccharides, minerals, and iodine",science_research.xlsx (internal evidence file - needs_citation)
Sea Moss (Irish Moss),Dried,Acceptable,Species verification and iodine standardization prevent variability and thyroid risk,"Marine botanical (red algae) rich in polysaccharides, minerals, and iodine",science_research.xlsx (internal evidence file - needs_citation)
Sea Moss (Irish Moss),powdered sea moss with declared species and batch testing,Acceptable,Species verification and iodine standardization prevent variability and thyroid risk,"Marine botanical (red algae) rich in polysaccharides, minerals, and iodine",science_research.xlsx (internal evidence file - needs_citation)
Sea Moss (Irish Moss),Unspecified “sea moss” blends without species identification,Reject,Species verification and iodine standardization prevent variability and thyroid risk,"Marine botanical (red algae) rich in polysaccharides, minerals, and iodine",science_research.xlsx (internal evidence file - needs_citation)
Sea Moss (Irish Moss),iodine/heavy-metal testing,Reject,Species verification and iodine standardization prevent variability and thyroid risk,"Marine botanical (red algae) rich in polysaccharides, minerals, and iodine",science_research.xlsx (internal evidence file - needs_citation)
Potassium,"Potassium citrate, potassium gluconate,",Superior,Citrate and gluconate forms are better tolerated and reduce GI irritation compared to chloride,Essential mineral / electrolyte micronutrient,science_research.xlsx (internal evidence file - needs_citation)
Potassium,potassium bicarbonate with declared elemental potassium content,Superior,Citrate and gluconate forms are better tolerated and reduce GI irritation compared to chloride,Essential mineral / electrolyte micronutrient,science_research.xlsx (internal evidence file - needs_citation)
Potassium,Potassium chloride,Acceptable,Citrate and gluconate forms are better tolerated and reduce GI irritation compared to chloride,Essential mineral / electrolyte micronutrient,science_research.xlsx (internal evidence file - needs_citation)
Potassium,mixed potassium salts used at low supplemental doses,Acceptable,Citrate and gluconate forms are better tolerated and reduce GI irritation compared to chloride,Essential mineral / electrolyte micronutrient,science_research.xlsx (internal evidence file - needs_citation)
Potassium,High-dose potassium chloride tablets without medical supervision,Reject,Citrate and gluconate forms are better tolerated and reduce GI irritation compared to chloride,Essential mineral / electrolyte micronutrient,science_research.xlsx (internal evidence file - needs_citation)
Potassium,unclear elemental potassium labeling,Reject,Citrate and gluconate forms are better tolerated and reduce GI irritation compared to chloride,Essential mineral / electrolyte micronutrient,science_research.xlsx (internal evidence file - needs_citation)
Copper,Copper bisglycinate (chelate),Superior,Chelated copper forms improve absorption and reduce gastrointestinal irritation,Essential trace mineral / micronutrient,science_research.xlsx (internal evidence file - needs_citation)
Copper,copper gluconate with clearly stated elemental copper content,Superior,Chelated copper forms improve absorption and reduce gastrointestinal irritation,Essential trace mineral / micronutrient,science_research.xlsx (internal evidence file - needs_citation)
Copper,Copper sulfate,Acceptable,Chelated copper forms improve absorption and reduce gastrointestinal irritation,Essential trace mineral / micronutrient,science_research.xlsx (internal evidence file - needs_citation)
Copper,"copper citrate used at low, well-controlled doses",Acceptable,Chelated copper forms improve absorption and reduce gastrointestinal irritation,Essential trace mineral / micronutrient,science_research.xlsx (internal evidence file - needs_citation)
Copper,High-dose copper oxide,Reject,Chelated copper forms improve absorption and reduce gastrointestinal irritation,Essential trace mineral / micronutrient,science_research.xlsx (internal evidence file - needs_citation)
Copper,products without declared elemental copper amount,Reject,Chelated copper forms improve absorption and reduce gastrointestinal irritation,Essential trace mineral / micronutrient,science_research.xlsx (internal evidence file - needs_citation)
Fulvic Acid,"Purified, low–molecular-weight fulvic acid extracted from leonardite",Superior,Purified fulvic acid improves mineral bioavailability while reducing heavy-metal exposure risk,Organic acid / humic substance–derived bioactive compound,science_research.xlsx (internal evidence file - needs_citation)
Fulvic Acid,humic shale with heavy-metal removal,Superior,Purified fulvic acid improves mineral bioavailability while reducing heavy-metal exposure risk,Organic acid / humic substance–derived bioactive compound,science_research.xlsx (internal evidence file - needs_citation)
Fulvic Acid,Fulvic acid liquids,Acceptable,Purified fulvic acid improves mineral bioavailability while reducing heavy-metal exposure risk,Organic acid / humic substance–derived bioactive compound,science_research.xlsx (internal evidence file - needs_citation)
Fulvic Acid,capsules with disclosed source and concentration,Acceptable,Purified fulvic acid improves mineral bioavailability while reducing heavy-metal exposure risk,Organic acid / humic substance–derived bioactive compound,science_research.xlsx (internal evidence file - needs_citation)
Fulvic Acid,Unpurified humic/fulvic blends without contaminant testing,Reject,Purified fulvic acid improves mineral bioavailability while reducing heavy-metal exposure risk,Organic acid / humic substance–derived bioactive compound,science_research.xlsx (internal evidence file - needs_citation)
Fulvic Acid,source disclosure,Reject,Purified fulvic acid improves mineral bioavailability while reducing heavy-metal exposure risk,Organic acid / humic substance–derived bioactive compound,science_research.xlsx (internal evidence file - needs_citation)
Astaxanthin,Natural astaxanthin extracted from Haematococcus pluvialis suspended in oil for enhanced bioavailability,Superior,Natural algal astaxanthin shows higher antioxidant activity and safety profile than synthetic forms,Carotenoid antioxidant / lipid-soluble phytonutrient,science_research.xlsx (internal evidence file - needs_citation)
Astaxanthin,Natural algal astaxanthin with declared mg potency per serving,Acceptable,Natural algal astaxanthin shows higher antioxidant activity and safety profile than synthetic forms,Carotenoid antioxidant / lipid-soluble phytonutrient,science_research.xlsx (internal evidence file - needs_citation)
Astaxanthin,Synthetic astaxanthin,Reject,Natural algal astaxanthin shows higher antioxidant activity and safety profile than synthetic forms,Carotenoid antioxidant / lipid-soluble phytonutrient,science_research.xlsx (internal evidence file - needs_citation)
Astaxanthin,products without source disclosure and oil carrier,Reject,Natural algal astaxanthin shows higher antioxidant activity and safety profile than synthetic forms,Carotenoid antioxidant / lipid-soluble phytonutrient,science_research.xlsx (internal evidence file - needs_citation)
